[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:05,676 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:06,574 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:06,913 INFO [main][GenericScope.java:294] - BeanFactory id=84b3241e-4c31-30b8-bc7e-5911567132a7
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,053 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8f5fa29a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,496 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,515 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,526 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,527 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,537 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [E:\BREW\IT\JDK\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;E:\BREW\IT\TortoiseGit\bin;E:\BREW\IT\TortoiseSVN\bin;E:\BREW\IT\JDK\bin;E:\BREW\IT\MAVEN\apache-maven-3.8.4\bin;E:\BREW\IT\Git\Git\cmd;E:\BREW\IT\MYSQL80\mysql-8.0.28-winx64\bin;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;;E:\BREW\IT\IDEA\IntelliJ IDEA 2021.3.2\bin;;.]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,741 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,742 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 2047 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,884 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,885 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:07,902 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@37b56ac7
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:10,643 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:10,815 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:10,817 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:11,067 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:11,067 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:11,560 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:11,560 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:11,773 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:13,901 INFO [main][InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:13,950 INFO [main][DiscoveryClient.java:349] - Initializing Eureka in region us-east-1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:13,951 INFO [main][DiscoveryClient.java:352] - Client configured to neither register nor query for data.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:13,962 INFO [main][DiscoveryClient.java:365] - Discovery Client initialized at timestamp 1647938533960 with initial instances count: 0
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:14,037 INFO [main][DefaultEurekaServerContext.java:63] - Initializing ...
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:14,041 INFO [main][PeerEurekaNodes.java:188] - Adding new peer nodes [http://localhost:53000/eureka/]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,617 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,617 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,618 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,618 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,812 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,824 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,825 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,837 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,975 INFO [main][EurekaServiceRegistry.java:42] - Registering application HNRADIO-DISCOVERY with eureka with status UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,980 INFO [Thread-26][EurekaServerBootstrap.java:109] - Setting the eureka configuration..
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,981 INFO [Thread-26][EurekaServerBootstrap.java:114] - Eureka data center value eureka.datacenter is not set, defaulting to default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:15,981 INFO [Thread-26][EurekaServerBootstrap.java:128] - Eureka environment value eureka.environment is not set, defaulting to test
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:16,006 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:16,006 INFO [Thread-26][EurekaServerBootstrap.java:184] - isAws returned false
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:16,008 INFO [Thread-26][EurekaServerBootstrap.java:152] - Initialized server context
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:16,008 INFO [Thread-26][PeerAwareInstanceRegistryImpl.java:241] - Got 1 instances from neighboring DS node
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:16,008 INFO [Thread-26][PeerAwareInstanceRegistryImpl.java:242] - Renew threshold is: 1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:16,008 INFO [Thread-26][PeerAwareInstanceRegistryImpl.java:253] - Changing status to UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2022-03-22 16:42:16,022 INFO [Thread-26][EurekaServerInitializerConfiguration.java:72] - Started Eureka Server
