[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:00,711 INFO [hmilyTransaction-hmily-transaction-self-recovery-78][LogUtil.java:87] - self recovery execute delayTime:60
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:24,357 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:25,136 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:50,923 INFO [hmilyTransaction-hmily-transaction-self-recovery-106][LogUtil.java:87] - self recovery execute delayTime:60
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:54,342 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:55,152 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:57,530 INFO [hmilyTransaction-hmily-transaction-self-recovery-26][LogUtil.java:87] - self recovery execute delayTime:60
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:00:57,625 INFO [hmilyTransaction-hmily-transaction-self-recovery-52][LogUtil.java:87] - self recovery execute delayTime:60
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:01:00,208 INFO [AsyncResolver-bootstrap-executor-0][ConfigClusterResolver.java:43] - Resolving eureka endpoints via configuration
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:01:00,721 INFO [hmilyTransaction-hmily-transaction-self-recovery-78][LogUtil.java:87] - self recovery execute delayTime:60
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:01:24,355 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:01:25,135 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[wanxinp2p-consumer-service][${env:SERVER_PORT}] 2022-03-30 20:01:50,939 INFO [hmilyTransaction-hmily-transaction-self-recovery-106][LogUtil.java:87] - self recovery execute delayTime:60
